Numero_ticket,sum(quantite)
1032,1004
403,984
260,967
246,957
20,943
332,941
577,924
49,922
74,916
915,910
90,907
137,899
361,895
489,892
1011,890
454,884
371,880
965,878
298,876
398,875
819,873
888,869
4,868
431,866
676,866
715,865
892,864
789,861
264,858
743,858
595,856
538,854
36,853
545,849
602,849
839,849
942,848
1035,847
979,844
234,840
18,839
439,838
458,838
730,838
486,837
964,829
705,828
281,827
330,824
637,816
608,814
908,814
459,812
992,811
116,810
962,807
313,806
317,802
326,802
163,801
798,801
205,800
315,800
354,800
35,799
365,799
446,794
170,793
380,793
565,793
339,790
658,788
899,787
778,786
953,786
161,783
618,783
694,783
134,780
349,779
63,777
1005,777
968,776
119,775
290,775
310,774
541,774
762,774
45,773
372,771
963,771
932,770
2378,770
659,769
573,768
226,767
662,767
438,766
825,764
475,763
146,762
395,762
405,761
99,760
133,760
742,760
1911,760
621,759
517,755
704,755
69,754
555,754
423,752
873,752
1045,752
263,751
981,751
351,750
738,750
1012,750
740,747
648,745
973,744
97,743
971,740
754,738
921,738
520,737
1807,737
192,736
1026,736
204,735
243,735
385,735
708,735
33,734
337,734
203,733
895,732
1254,732
2426,731
296,730
667,730
793,729
208,727
606,727
672,726
734,726
1505,726
955,725
1003,725
359,723
514,723
632,723
12,722
387,722
302,720
435,719
859,718
1018,718
960,717
1010,713
1041,713
414,712
567,712
897,712
956,712
66,711
357,710
1051,710
416,709
487,709
655,709
687,708
1008,708
55,707
356,707
4045,707
300,706
104,705
241,705
278,705
2176,705
1663,704
118,703
471,703
551,703
29,702
903,702
2018,702
367,701
1033,701
564,700
943,700
901,699
700,698
645,697
723,697
843,697
879,697
2118,697
343,696
150,694
604,694
928,694
16,693
213,693
392,693
691,692
516,691
568,691
702,691
967,691
832,690
993,690
229,689
933,689
353,688
461,688
817,688
130,687
646,687
716,687
1241,687
998,686
858,685
906,685
1040,685
201,684
269,684
44,683
640,683
721,683
799,683
273,682
374,682
1046,682
364,681
370,681
803,681
176,680
703,680
811,680
940,680
1218,680
93,679
556,679
654,679
40,678
240,678
270,678
757,678
214,677
548,677
1993,677
841,676
864,676
285,675
1030,675
627,674
913,674
261,673
587,673
679,673
688,673
478,672
736,672
745,672
333,671
920,671
299,670
1036,670
152,669
442,669
639,669
1971,669
39,668
532,668
795,668
860,668
970,668
327,667
515,667
496,666
1331,666
346,665
377,665
409,665
433,665
445,664
469,663
482,663
1004,663
50,662
407,662
829,662
1025,662
382,661
480,661
616,661
1019,661
1282,661
2086,661
6,660
105,660
120,660
896,660
1318,660
2362,659
1349,658
2287,658
320,657
335,657
426,657
840,657
987,657
2598,657
280,656
529,656
590,656
782,656
2163,656
384,655
994,655
2332,655
323,654
518,654
623,654
1043,654
1278,654
768,653
894,653
34,652
420,652
722,652
2320,652
14,651
52,651
697,651
828,651
833,651
1201,651
181,650
547,650
750,650
1188,649
1223,648
2393,648
10,647
253,647
304,647
936,647
1104,647
256,646
1031,646
306,645
456,645
617,645
977,645
1643,645
2546,645
142,644
311,644
1459,644
511,643
171,642
450,642
812,642
846,642
86,641
1114,641
451,640
748,640
853,640
985,640
1116,640
175,639
592,639
642,639
2004,638
2672,638
481,637
849,637
268,636
1845,636
1042,635
259,634
594,634
777,634
821,634
988,634
3,633
2137,633
94,632
167,632
474,632
609,632
717,632
776,632
834,632
838,632
1427,632
1432,632
54,631
219,631
462,631
660,631
862,631
893,631
1021,631
1720,631
1,630
194,630
675,630
499,629
1777,629
32,628
680,628
937,628
999,628
1029,628
441,627
689,627
1151,627
424,626
574,626
599,626
744,626
779,626
827,626
945,626
1235,626
266,625
644,625
308,624
885,624
1630,623
223,622
850,622
2513,622
610,621
737,621
875,621
82,620
124,620
191,620
830,620
26,619
188,619
375,619
432,619
197,618
1584,617
117,616
2456,616
303,615
492,615
528,614
1204,614
115,613
206,613
408,613
182,612
232,612
340,612
415,612
1351,611
2696,611
929,610
178,609
328,609
741,609
493,608
585,608
674,608
886,608
931,608
626,607
2346,607
600,606
785,606
787,606
1401,606
2231,606
322,605
530,605
540,605
550,605
553,605
797,605
1157,605
989,604
251,603
363,603
2168,603
2278,603
84,602
164,602
647,602
236,601
257,601
974,601
1402,601
1922,601
106,600
460,600
1178,600
1960,600
9,599
148,599
488,599
491,599
948,599
2223,599
305,598
389,598
693,598
1659,598
212,597
510,597
531,597
425,596
1089,596
1133,595
2454,595
508,594
733,594
1044,594
1603,594
1886,594
157,593
207,593
836,592
2331,592
1346,591
1745,591
135,590
1320,590
2644,590
301,589
484,589
570,589
678,589
806,589
958,589
2670,589
71,588
143,588
158,588
620,588
1147,588
360,587
572,587
765,587
1924,587
2199,587
75,586
77,586
131,586
552,586
2615,586
542,585
1691,585
38,584
638,584
1729,584
1901,584
681,583
818,583
2677,583
476,582
916,582
2225,582
2322,582
23,581
95,581
174,581
235,581
485,581
522,581
601,581
788,581
813,581
961,581
1544,581
2413,581
2613,581
62,580
85,580
391,580
419,580
434,580
443,580
1518,580
509,579
586,579
934,579
2116,579
283,578
453,578
502,578
653,578
1050,578
2559,578
92,577
569,577
584,577
1666,577
1828,577
81,576
625,576
719,576
739,576
783,576
2056,576
17,575
1767,575
199,574
881,574
1601,574
1746,574
238,573
254,573
355,573
792,573
930,573
1052,573
1974,573
2480,573
166,572
271,572
390,572
429,572
535,572
752,572
801,572
852,572
468,571
1472,571
1590,571
83,570
421,570
578,570
927,570
1007,570
1486,570
2049,570
2218,570
79,569
362,569
401,569
437,569
503,569
731,569
924,569
1038,569
2233,569
4291,569
558,568
804,568
837,568
1140,568
1905,568
1928,568
91,567
472,567
684,567
758,567
770,567
907,567
2094,567
25,566
430,566
566,566
957,566
1253,566
168,565
887,565
1280,565
1362,565
2160,565
289,564
664,564
709,564
1132,564
1887,564
2216,564
2315,564
87,563
598,563
847,563
866,563
582,562
2392,562
422,561
753,561
562,560
649,560
720,560
822,560
826,560
966,560
1794,560
1896,560
2664,560
230,559
373,559
650,559
914,559
1733,559
98,558
