"Numero ticket",somme
1,630
2,514
3,633
4,868
5,548
6,660
9,599
10,647
12,722
14,651
15,520
16,693
17,575
18,839
19,552
20,943
22,524
23,581
24,517
25,566
26,619
27,556
28,556
29,702
31,515
32,628
33,734
34,652
35,799
36,853
37,532
38,584
39,668
40,678
41,536
44,683
45,773
47,548
49,922
50,662
52,651
53,536
54,631
55,707
57,519
59,507
62,580
63,777
66,711
68,530
69,754
71,588
72,520
73,549
74,916
75,586
77,586
79,569
81,576
82,620
83,570
84,602
85,580
86,641
87,563
88,521
89,528
90,907
91,567
92,577
93,679
94,632
95,581
97,743
98,558
99,760
100,533
101,520
103,534
104,705
105,660
106,600
109,531
113,536
115,613
116,810
117,616
118,703
119,775
120,660
124,620
125,553
130,687
131,586
133,760
134,780
135,590
137,899
138,510
141,537
142,644
143,588
145,539
146,762
148,599
150,694
152,669
154,508
157,593
158,588
159,521
160,520
161,783
163,801
164,602
166,572
167,632
168,565
170,793
171,642
172,524
174,581
175,639
176,680
178,609
179,503
180,549
181,650
182,612
183,549
184,558
185,552
188,619
191,620
192,736
194,630
195,510
196,510
197,618
199,574
201,684
203,733
204,735
205,800
206,613
207,593
208,727
210,524
212,597
213,693
214,677
215,520
219,631
222,510
223,622
225,512
226,767
229,689
230,559
231,529
232,612
234,840
235,581
236,601
237,526
238,573
239,525
240,678
241,705
243,735
246,957
247,512
249,504
251,603
253,647
254,573
255,519
256,646
257,601
259,634
260,967
261,673
262,528
263,751
264,858
266,625
268,636
269,684
270,678
271,572
273,682
276,552
277,539
278,705
280,656
281,827
282,520
283,578
285,675
289,564
290,775
291,541
292,523
294,525
295,519
296,730
297,524
298,876
299,670
300,706
301,589
302,720
303,615
304,647
305,598
306,645
308,624
310,774
311,644
313,806
314,557
315,800
316,518
317,802
319,501
320,657
321,556
322,605
323,654
324,513
325,511
326,802
327,667
328,609
329,530
330,824
332,941
333,671
334,531
335,657
337,734
339,790
340,612
341,547
343,696
345,534
346,665
347,504
348,519
349,779
351,750
353,688
354,800
355,573
356,707
357,710
358,537
359,723
360,587
361,895
362,569
363,603
364,681
365,799
367,701
370,681
371,880
372,771
373,559
374,682
375,619
376,524
377,665
379,521
380,793
382,661
383,558
384,655
385,735
387,722
389,598
390,572
391,580
392,693
393,557
395,762
396,504
397,552
398,875
401,569
403,984
405,761
407,662
408,613
409,665
411,501
414,712
415,612
416,709
419,580
420,652
421,570
422,561
423,752
424,626
425,596
426,657
429,572
430,566
431,866
432,619
433,665
434,580
435,719
437,569
438,766
439,838
441,627
442,669
443,580
445,664
446,794
448,516
449,532
450,642
451,640
453,578
454,884
456,645
458,838
459,812
460,600
461,688
462,631
465,552
467,553
468,571
469,663
471,703
472,567
474,632
475,763
476,582
477,518
478,672
479,539
480,661
481,637
482,663
484,589
485,581
486,837
487,709
488,599
489,892
491,599
492,615
493,608
494,522
496,666
498,539
499,629
500,516
502,578
503,569
507,522
508,594
509,579
510,597
511,643
513,523
514,723
