nom_article,QUANTITE
"Trop’ (la)",61
"Rigor Mortis",60
"Oud Beersel Kriek",73
"Hitachino Nest XH",68
"Brasserie Corrézienne Saison",65
"Stuttgarter Hofbräu WeihnachtsBier",55
"Rivière d'Ain",58
"Uberach Bière Blonde",76
Celebrator,79
"Gâtine Brune (la)",77
Nevermore,82
"Cordiale (la)",55
"Fruit Défendu (le)",67
"Hopfenfänger Rotbier",91
"Ninkasi Noire",63
"Oaked Arrogant Bastard Ale",67
Mastoc,57
"Mac Queen's Nessie",60
"Farmer's Harvest",75
"Cali-België IPA",90
"Tannen Zäpfle",80
"HopHopHop Triskel",58
"Abbaye de St Bon Chien",58
"Darwin Beer",68
"Franche Profonde (la)",61
"Old Gold",72
"San Miguel",58
"Blanche de Chambly",62
"Grimbergen Double",53
Prairial,74
Consecration,60
"Fin du Monde (la)",66
"Alex le Rouge",74
"Stuttgarter Hofbräu Pilsner",73
"Hemel & Aarde",72
"Fée Bistande (la)",55
