"Numéro ticket",Date_vente
171,"2014-03-01 00:00:00"
172,"2014-03-02 00:00:00"
173,"2014-03-03 00:00:00"
174,"2014-03-03 00:00:00"
175,"2014-03-03 00:00:00"
176,"2014-03-03 00:00:00"
177,"2014-03-03 00:00:00"
178,"2014-03-05 00:00:00"
179,"2014-03-06 00:00:00"
180,"2014-03-06 00:00:00"
181,"2014-03-06 00:00:00"
182,"2014-03-06 00:00:00"
183,"2014-03-06 00:00:00"
184,"2014-03-07 00:00:00"
185,"2014-03-07 00:00:00"
186,"2014-03-08 00:00:00"
187,"2014-03-08 00:00:00"
188,"2014-03-08 00:00:00"
189,"2014-03-08 00:00:00"
190,"2014-03-10 00:00:00"
191,"2014-03-10 00:00:00"
192,"2014-03-10 00:00:00"
193,"2014-03-10 00:00:00"
194,"2014-03-11 00:00:00"
195,"2014-03-11 00:00:00"
196,"2014-03-12 00:00:00"
197,"2014-03-12 00:00:00"
198,"2014-03-14 00:00:00"
199,"2014-03-14 00:00:00"
200,"2014-03-14 00:00:00"
201,"2014-03-14 00:00:00"
202,"2014-03-14 00:00:00"
203,"2014-03-14 00:00:00"
204,"2014-03-15 00:00:00"
205,"2014-03-15 00:00:00"
206,"2014-03-15 00:00:00"
207,"2014-03-15 00:00:00"
208,"2014-03-15 00:00:00"
209,"2014-03-16 00:00:00"
210,"2014-03-16 00:00:00"
211,"2014-03-17 00:00:00"
212,"2014-03-17 00:00:00"
213,"2014-03-18 00:00:00"
214,"2014-03-18 00:00:00"
215,"2014-03-18 00:00:00"
216,"2014-03-19 00:00:00"
217,"2014-03-19 00:00:00"
218,"2014-03-19 00:00:00"
219,"2014-03-21 00:00:00"
220,"2014-03-21 00:00:00"
221,"2014-03-21 00:00:00"
222,"2014-03-21 00:00:00"
223,"2014-03-22 00:00:00"
224,"2014-03-22 00:00:00"
225,"2014-03-23 00:00:00"
226,"2014-03-23 00:00:00"
227,"2014-03-24 00:00:00"
228,"2014-03-24 00:00:00"
229,"2014-03-24 00:00:00"
230,"2014-03-25 00:00:00"
231,"2014-03-25 00:00:00"
232,"2014-03-26 00:00:00"
233,"2014-03-27 00:00:00"
234,"2014-03-27 00:00:00"
235,"2014-03-27 00:00:00"
236,"2014-03-27 00:00:00"
237,"2014-03-27 00:00:00"
238,"2014-03-29 00:00:00"
239,"2014-03-29 00:00:00"
240,"2014-03-30 00:00:00"
241,"2014-03-30 00:00:00"
242,"2014-03-30 00:00:00"
243,"2014-03-31 00:00:00"
244,"2014-03-31 00:00:00"
245,"2014-03-31 00:00:00"
246,"2014-03-31 00:00:00"
247,"2014-03-31 00:00:00"
248,"2014-03-31 00:00:00"
249,"2014-04-01 00:00:00"
250,"2014-04-01 00:00:00"
251,"2014-04-01 00:00:00"
252,"2014-04-02 00:00:00"
253,"2014-04-03 00:00:00"
254,"2014-04-04 00:00:00"
255,"2014-04-04 00:00:00"
256,"2014-04-04 00:00:00"
257,"2014-04-05 00:00:00"
258,"2014-04-05 00:00:00"
259,"2014-04-05 00:00:00"
260,"2014-04-05 00:00:00"
261,"2014-04-05 00:00:00"
262,"2014-04-05 00:00:00"
263,"2014-04-05 00:00:00"
264,"2014-04-06 00:00:00"
265,"2014-04-06 00:00:00"
266,"2014-04-06 00:00:00"
267,"2014-04-06 00:00:00"
268,"2014-04-07 00:00:00"
269,"2014-04-08 00:00:00"
270,"2014-04-08 00:00:00"
271,"2014-04-09 00:00:00"
272,"2014-04-09 00:00:00"
273,"2014-04-09 00:00:00"
274,"2014-04-10 00:00:00"
275,"2014-04-10 00:00:00"
276,"2014-04-10 00:00:00"
277,"2014-04-11 00:00:00"
278,"2014-04-11 00:00:00"
279,"2014-04-12 00:00:00"
280,"2014-04-12 00:00:00"
281,"2014-04-12 00:00:00"
282,"2014-04-12 00:00:00"
283,"2014-04-13 00:00:00"
284,"2014-04-14 00:00:00"
285,"2014-04-14 00:00:00"
286,"2014-04-15 00:00:00"
287,"2014-04-15 00:00:00"
288,"2014-04-16 00:00:00"
289,"2014-04-16 00:00:00"
290,"2014-04-17 00:00:00"
291,"2014-04-17 00:00:00"
292,"2014-04-17 00:00:00"
293,"2014-04-18 00:00:00"
294,"2014-04-18 00:00:00"
295,"2014-04-19 00:00:00"
296,"2014-04-19 00:00:00"
297,"2014-04-19 00:00:00"
298,"2014-04-19 00:00:00"
299,"2014-04-19 00:00:00"
300,"2014-04-20 00:00:00"
301,"2014-04-20 00:00:00"
302,"2014-04-20 00:00:00"
303,"2014-04-20 00:00:00"
304,"2014-04-21 00:00:00"
305,"2014-04-21 00:00:00"
306,"2014-04-22 00:00:00"
307,"2014-04-22 00:00:00"
308,"2014-04-22 00:00:00"
309,"2014-04-22 00:00:00"
310,"2014-04-24 00:00:00"
311,"2014-04-24 00:00:00"
312,"2014-04-24 00:00:00"
313,"2014-04-25 00:00:00"
314,"2014-04-25 00:00:00"
315,"2014-04-25 00:00:00"
316,"2014-04-25 00:00:00"
317,"2014-04-25 00:00:00"
318,"2014-04-26 00:00:00"
319,"2014-04-26 00:00:00"
320,"2014-04-26 00:00:00"
321,"2014-04-26 00:00:00"
322,"2014-04-26 00:00:00"
323,"2014-04-27 00:00:00"
324,"2014-04-27 00:00:00"
325,"2014-04-27 00:00:00"
326,"2014-04-27 00:00:00"
327,"2014-04-27 00:00:00"
328,"2014-04-28 00:00:00"
329,"2014-04-28 00:00:00"
330,"2014-04-28 00:00:00"
331,"2014-04-28 00:00:00"
332,"2014-04-29 00:00:00"
333,"2014-04-29 00:00:00"
334,"2014-04-29 00:00:00"
335,"2014-04-29 00:00:00"
336,"2014-04-30 00:00:00"
