"Numéro ticket",DATE_VENTE
171,"2014-03-01 00:00:00"
172,"2014-03-02 00:00:00"
173,"2014-03-03 00:00:00"
174,"2014-03-03 00:00:00"
175,"2014-03-03 00:00:00"
176,"2014-03-03 00:00:00"
177,"2014-03-03 00:00:00"
178,"2014-03-05 00:00:00"
179,"2014-03-06 00:00:00"
180,"2014-03-06 00:00:00"
181,"2014-03-06 00:00:00"
182,"2014-03-06 00:00:00"
183,"2014-03-06 00:00:00"
184,"2014-03-07 00:00:00"
185,"2014-03-07 00:00:00"
186,"2014-03-08 00:00:00"
187,"2014-03-08 00:00:00"
188,"2014-03-08 00:00:00"
189,"2014-03-08 00:00:00"
190,"2014-03-10 00:00:00"
191,"2014-03-10 00:00:00"
192,"2014-03-10 00:00:00"
193,"2014-03-10 00:00:00"
194,"2014-03-11 00:00:00"
195,"2014-03-11 00:00:00"
196,"2014-03-12 00:00:00"
197,"2014-03-12 00:00:00"
198,"2014-03-14 00:00:00"
199,"2014-03-14 00:00:00"
200,"2014-03-14 00:00:00"
201,"2014-03-14 00:00:00"
202,"2014-03-14 00:00:00"
203,"2014-03-14 00:00:00"
204,"2014-03-15 00:00:00"
205,"2014-03-15 00:00:00"
206,"2014-03-15 00:00:00"
207,"2014-03-15 00:00:00"
208,"2014-03-15 00:00:00"
209,"2014-03-16 00:00:00"
210,"2014-03-16 00:00:00"
211,"2014-03-17 00:00:00"
212,"2014-03-17 00:00:00"
213,"2014-03-18 00:00:00"
214,"2014-03-18 00:00:00"
215,"2014-03-18 00:00:00"
216,"2014-03-19 00:00:00"
217,"2014-03-19 00:00:00"
218,"2014-03-19 00:00:00"
219,"2014-03-21 00:00:00"
220,"2014-03-21 00:00:00"
221,"2014-03-21 00:00:00"
222,"2014-03-21 00:00:00"
223,"2014-03-22 00:00:00"
224,"2014-03-22 00:00:00"
225,"2014-03-23 00:00:00"
226,"2014-03-23 00:00:00"
227,"2014-03-24 00:00:00"
228,"2014-03-24 00:00:00"
229,"2014-03-24 00:00:00"
230,"2014-03-25 00:00:00"
231,"2014-03-25 00:00:00"
232,"2014-03-26 00:00:00"
233,"2014-03-27 00:00:00"
234,"2014-03-27 00:00:00"
235,"2014-03-27 00:00:00"
236,"2014-03-27 00:00:00"
237,"2014-03-27 00:00:00"
238,"2014-03-29 00:00:00"
239,"2014-03-29 00:00:00"
240,"2014-03-30 00:00:00"
241,"2014-03-30 00:00:00"
242,"2014-03-30 00:00:00"
243,"2014-03-31 00:00:00"
244,"2014-03-31 00:00:00"
245,"2014-03-31 00:00:00"
246,"2014-03-31 00:00:00"
247,"2014-03-31 00:00:00"
248,"2014-03-31 00:00:00"
410,"2014-06-01 00:00:00"
411,"2014-06-01 00:00:00"
412,"2014-06-01 00:00:00"
413,"2014-06-02 00:00:00"
414,"2014-06-02 00:00:00"
415,"2014-06-03 00:00:00"
416,"2014-06-04 00:00:00"
417,"2014-06-04 00:00:00"
418,"2014-06-04 00:00:00"
419,"2014-06-04 00:00:00"
420,"2014-06-05 00:00:00"
421,"2014-06-05 00:00:00"
422,"2014-06-05 00:00:00"
423,"2014-06-05 00:00:00"
424,"2014-06-06 00:00:00"
425,"2014-06-06 00:00:00"
426,"2014-06-07 00:00:00"
427,"2014-06-07 00:00:00"
428,"2014-06-07 00:00:00"
429,"2014-06-07 00:00:00"
430,"2014-06-08 00:00:00"
431,"2014-06-09 00:00:00"
432,"2014-06-09 00:00:00"
433,"2014-06-09 00:00:00"
434,"2014-06-09 00:00:00"
435,"2014-06-10 00:00:00"
436,"2014-06-10 00:00:00"
437,"2014-06-11 00:00:00"
438,"2014-06-11 00:00:00"
439,"2014-06-11 00:00:00"
440,"2014-06-11 00:00:00"
441,"2014-06-11 00:00:00"
442,"2014-06-12 00:00:00"
443,"2014-06-12 00:00:00"
444,"2014-06-12 00:00:00"
445,"2014-06-12 00:00:00"
446,"2014-06-12 00:00:00"
447,"2014-06-13 00:00:00"
448,"2014-06-13 00:00:00"
449,"2014-06-13 00:00:00"
450,"2014-06-13 00:00:00"
451,"2014-06-13 00:00:00"
452,"2014-06-13 00:00:00"
453,"2014-06-13 00:00:00"
454,"2014-06-15 00:00:00"
455,"2014-06-15 00:00:00"
456,"2014-06-15 00:00:00"
457,"2014-06-15 00:00:00"
458,"2014-06-15 00:00:00"
459,"2014-06-15 00:00:00"
460,"2014-06-16 00:00:00"
461,"2014-06-16 00:00:00"
462,"2014-06-16 00:00:00"
463,"2014-06-16 00:00:00"
464,"2014-06-16 00:00:00"
465,"2014-06-16 00:00:00"
466,"2014-06-17 00:00:00"
467,"2014-06-17 00:00:00"
468,"2014-06-18 00:00:00"
469,"2014-06-18 00:00:00"
470,"2014-06-18 00:00:00"
471,"2014-06-19 00:00:00"
472,"2014-06-20 00:00:00"
473,"2014-06-20 00:00:00"
474,"2014-06-21 00:00:00"
475,"2014-06-22 00:00:00"
476,"2014-06-23 00:00:00"
477,"2014-06-23 00:00:00"
478,"2014-06-23 00:00:00"
479,"2014-06-23 00:00:00"
480,"2014-06-24 00:00:00"
481,"2014-06-24 00:00:00"
482,"2014-06-24 00:00:00"
483,"2014-06-24 00:00:00"
484,"2014-06-24 00:00:00"
485,"2014-06-25 00:00:00"
486,"2014-06-25 00:00:00"
487,"2014-06-25 00:00:00"
488,"2014-06-26 00:00:00"
489,"2014-06-26 00:00:00"
490,"2014-06-26 00:00:00"
491,"2014-06-26 00:00:00"
492,"2014-06-27 00:00:00"
493,"2014-06-27 00:00:00"
494,"2014-06-27 00:00:00"
495,"2014-06-27 00:00:00"
496,"2014-06-27 00:00:00"
497,"2014-06-28 00:00:00"
498,"2014-06-29 00:00:00"
499,"2014-06-29 00:00:00"
500,"2014-06-29 00:00:00"
501,"2014-06-29 00:00:00"
502,"2014-06-29 00:00:00"
503,"2014-06-30 00:00:00"
504,"2014-06-30 00:00:00"
505,"2014-06-30 00:00:00"
