nom_article,id_article,NOM_COULEUR
"Hertog Jan Karakter",12,Ambrée
"Leffe Radieuse",37,Ambrée
"Schwaben Bräu Weihnachtsbier",48,Ambrée
"Vieux Temps",51,Ambrée
"1664 Millésime 2011",57,Ambrée
"Liefmans Jan Van Gent",74,Ambrée
Adelscott,76,Ambrée
"Affligem de Noël",79,Ambrée
"Bière de Noël Fischer",87,Ambrée
"Fischer Réserve Ambrée",89,Ambrée
"George Killian's",111,Ambrée
"Pelforth Ambrée",112,Ambrée
"Monts des Cats",122,Ambrée
"Corps Mort",126,Ambrée
"Montagnarde (la)",132,Ambrée
"Alesmith Grand Cru",152,Ambrée
"Old Numbskull",156,Ambrée
Tabachéra,161,Ambrée
"Boont Amber Ale",171,Ambrée
"Art Malté Ambrée",174,Ambrée
"Art Malté Bière de Garde",175,Ambrée
"Baltika 4",202,Ambrée
Hombre,208,Ambrée
"Croix Roussienne Ambrée (la)",211,Ambrée
"Croix Roussienne Rousse (la)",215,Ambrée
"Ninkasi Ambrée",218,Ambrée
"Ninkasi Rousse",223,Ambrée
"America Fuck Yeah",232,Ambrée
"Je Brûle de Désir",237,Ambrée
"Vision Dyonisiaque",238,Ambrée
"Innis and Gunn Oak Aged Original",244,Ambrée
"Brouette (la)",254,Ambrée
"Belle Abeille",263,Ambrée
"Blanche Amb'Ré (la)",267,Ambrée
"Système D Ambrée",271,Ambrée
"08015 Eixample",275,Ambrée
Ducale,276,Ambrée
"Empereur Ambrata",286,Ambrée
"Waterloo Rossa",287,Ambrée
"Olmaia "la 9" (l')",290,Ambrée
"Red Kite Ale",296,Ambrée
"Duivels Bier",305,Ambrée
Kwak,311,Ambrée
"Vapeur Cochonne",314,Ambrée
"Akerbeltz Ambrée (Gorrosta)",315,Ambrée
"L & L Alphand Ambrée",320,Ambrée
Damruz,343,Ambrée
"Mallozh Ruz",346,Ambrée
"St Glinglin Ambrée",350,Ambrée
"St Glinglin Noël",352,Ambrée
Amparo,354,Ambrée
"Mousse Ambrée (la)",356,Ambrée
"Songe-Fête Ambrée",363,Ambrée
"Gilbert's Bière de Noël",365,Ambrée
"Lutina Ambrio",367,Ambrée
"B.A.S. Ambrée",369,Ambrée
"Philomenn Rousse",371,Ambrée
"Authentique Ambrée",377,Ambrée
"Baudelo Abdij",388,Ambrée
Bruegel,389,Ambrée
"Brunehaut Tradition",392,Ambrée
"Levrette Bio",394,Ambrée
"Cap d'Ona Spéciale au Banyuls",397,Ambrée
"Caracole (la)",398,Ambrée
"28 Brett",402,Ambrée
"Bon Secours Ambrée",404,Ambrée
"Coreff Ambrée",411,Ambrée
Floreal,426,Ambrée
"Angélus de Noël (l')",438,Ambrée
"Bercloise Ambrée",446,Ambrée
"Pétasse (la)",458,Ambrée
"Ar-Men Ambrée",460,Ambrée
"Britt Rousse",464,Ambrée
"Fleurac de Noël",474,Ambrée
"Abbaye de St Landelin Spéciale Noël",482,Ambrée
"Ambrée des Flandres",484,Ambrée
"V Cense",495,Ambrée
"Julien Ambrée",496,Ambrée
"Brigantine Ambrée",506,Ambrée
"Château Rouge",508,Ambrée
"Goutte d'Or Charbonnière",510,Ambrée
109,514,Ambrée
Gruette,518,Ambrée
Pampille,522,Ambrée
"Loirette Ambrée",525,Ambrée
Lunik,537,Ambrée
"Pleine Lune Bière d'Hiver",540,Ambrée
"Brass Band Ambrée",558,Ambrée
Vivat,562,Ambrée
"Bière des Naufrageurs Ambrée",568,Ambrée
"Penhors Ambrée",588,Ambrée
"Christmas Pale Ale",599,Ambrée
"Cré Tonnerre",602,Ambrée
"Diable Rouge",603,Ambrée
Divine,604,Ambrée
"Silly Saison",607,Ambrée
"Super 64",608,Ambrée
Gavroche,610,Ambrée
"Struise Rosse",626,Ambrée
Tsjeeses,629,Ambrée
Dolmen,636,Ambrée
"Pilloise Ambrée (la)",637,Ambrée
"Piste Noire",642,Ambrée
"XO Beer",649,Ambrée
"Bière du Coing (la)",654,Ambrée
"Bière en Barrique (Saison des Amours)",656,Ambrée
"Brut'Ale - la P'tite Bière 2010",657,Ambrée
Hivern'Ale,661,Ambrée
"Promised to the Night",667,Ambrée
"Saison des Amours",670,Ambrée
"Bell' de Loing Ambrée",675,Ambrée
"Sorcière du Berry Ambrée (la)",678,Ambrée
"Mandubienne Ambrée",683,Ambrée
"Bulle des Vignes",686,Ambrée
"Diebels Alt",693,Ambrée
Charbonnière,696,Ambrée
