nom_article,id_article,ID_Couleur
"das Helle",2,NULL
"Bécasse Originale Framboise",23,NULL
"Bécasse Originale Kriek",25,NULL
"Bodingtons Draught Bitter",28,NULL
"Leffe Ruby",39,NULL
Quilmes,47,NULL
"Skol Pils",49,NULL
"Liefmans Frambozen",71,NULL
"Liefmans Glühkriek",72,NULL
Desperados,86,NULL
"Fischer de Printemps",88,NULL
"John Smith's Original Bitter",103,NULL
Maes,104,NULL
"Mc Ewan's Scotch",105,NULL
"Mort Subite Kriek",108,NULL
"Newcastle Brown Ale",110,NULL
"Watneys Scotch Ale",116,NULL
"Corne de Brume",125,NULL
"Nuits Blanches",134,NULL
Explorer,149,NULL
"The Poker Series - Roi de Coeur",150,NULL
"Alesmith X Extra Pale Ale",154,NULL
"Anvil Ale ESB",155,NULL
Volpina,162,NULL
"Anchor IPA",163,NULL
"Old Foghorn",168,NULL
"Paljas IPA",169,NULL
"Bengal Tiger IPA",180,NULL
"Cascade Pale Ale",181,NULL
"Red Alert",185,NULL
"Bonaventure IPA (la)",187,NULL
"Tournemine Real Ale",189,NULL
"The Maharaja IPA",191,NULL
Celebrator,192,NULL
"Fursty Ferret",194,NULL
"Angry Boy Brown Ale",196,NULL
"Baltika 9",206,NULL
Tatou,210,NULL
"Croix Roussienne Saison (la)",216,NULL
"Ninkasi I.P.A.",221,NULL
"Ninkasi Saison - Agrippine",224,NULL
"Summer Swallow",227,NULL
"Bavaria 8.6",228,NULL
"Original Leipziger Gose",229,NULL
"8 Ball",231,NULL
"Gamma Ray APA",233,NULL
Delta,235,NULL
"Belhaven Fruit Beer",240,NULL
"Belhaven Scottish Ale",241,NULL
"St Andrews Ale",245,NULL
"Twisted Thistle IPA",246,NULL
"Neudorf Red Ale",249,NULL
Procrastinator,258,NULL
"Rousse Pète",266,NULL
Equilibrista,277,NULL
Prunus,282,NULL
Rubus,284,NULL
"Black Sheep Ale",297,NULL
"Monty Python Holy Grail",299,NULL
"Jacobins Framboise Max",301,NULL
Kerasus,331,NULL
Omega,337,NULL
Phi,338,NULL
"Aour Du",342,NULL
"Lutina Violetta",368,NULL
Atlas,375,NULL
"Astra Urtyp",383,NULL
"O'Haras Irish Pale Ale",400,NULL
"Bon Secours Myrtille",407,NULL
"Brasserie Corrézienne Ambrée",417,NULL
"Brasserie Corrézienne Rouge",421,NULL
"HopHopHop Aramis",428,NULL
"Bercloise au Cognac",447,NULL
"Gwiniz Du (Cuvée crêperie)",466,NULL
"Amérindienne (l')",470,NULL
"Cowboy & Indien Pale Ale",472,NULL
"Fleurac Rouge à la Gentiane",477,NULL
"Blondine Chinook Single Hop IPA",493,NULL
"Julien Indian Pale Ale",502,NULL
"Tête au Carré",505,NULL
"3 Ter",507,NULL
Ernestine,509,NULL
"Double Sec",512,NULL
Lun'ion-Jacques,533,NULL
Luna'cious,534,NULL
"Brusseleir Zwët IPA",546,NULL
"'t Ooievaartje Krieken Rosé",572,NULL
Amarillo,573,NULL
"Bitch Black",574,NULL
"Mikkel & Menno",579,NULL
"Open & Bloot",581,NULL
"Sladek Hopburst",584,NULL
"Elliot Brew",619,NULL
"SVEA IPA",628,NULL
"Atlantic au pineau",647,NULL
"Arlésienne (l')",650,NULL
"Frappadingue (la)",659,NULL
"Oldarki au Patxaran",681,NULL
"Vent d'Ange",692,NULL
Chaman,695,NULL
"Corne du Diable",697,NULL
"Rigor Mortis",701,NULL
"Route des Epices",703,NULL
Mouska,706,NULL
"Bob's Cherry Ale",711,NULL
"Bobby's Own Ginger Beer",712,NULL
"Lili's Beer",714,NULL
"Soft Bobby",716,NULL
"Antytax Roi des Astyanax",740,NULL
"Cherries from Space",743,NULL
"Dernière Tentation (la)",746,NULL
"Dr. Jekyll",748,NULL
"Loch Dukoss",750,NULL
"Mister Hyde",752,NULL
"Rambling Skunk (the)",754,NULL
"Squale Harmonique (le)",756,NULL
"Lune Noire",767,NULL
"Speed King",769,NULL
"Salève India Pale Ale",777,NULL
"Salève Mademoiselle IPA",778,NULL
"Salève Nouveaux Mondes",780,NULL
"Salève Twin Bitter",787,NULL
"Saison Dupont",853,NULL
"Aecht Schlenkerla Eiche Doppelbock",877,NULL
"Aecht Schlenkerla Rauchbier Weizen",879,NULL
"Foudroyante Pomme",892,NULL
"Hop Verdomme IPA",901,NULL
"Bonnet Rouge",922,NULL
"Cervoise Lancelot",923,NULL
"Telenn Du",927,NULL
"3 Loups IPA",935,NULL
"Pacifico Clara",956,NULL
"Oud Beersel Kriek",966,NULL
"Sabot Bière de Fête",985,NULL
"Sabot de Vénus",987,NULL
